"code","iso","country","OEB.ind.1995","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024"
705,"SVN","Slovenia",53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,63.3,54.2,54.8,54.1,52.6,53.7,54.3,55.1,50.3,53.6,54.4,53.8,55.5,45.3,47.6,42.6,46.4,50,51.7,51.7,51.7
90,"SLB","Solomon Islands",94,94,94,94,94,94,94,94,94,94.9,96.5,99.9,100,99.4,98.3,100,100,100,92.7,84.6,83.6,88.6,81.4,80.4,76.1,88.2,92,98.1,98.1,98.1
706,"SOM","Somalia",65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,64,62.8,68.2,64.1,60,63.4,65.2,59.6,59.6,68.2,70.2,71.8,67.6,66.7,65.9,63.6,59.7,53.4,54.1,54.1,54.1
710,"ZAF","South Africa",71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,73.8,66.7,72.3,66.4,65.7,68.7,63.5,66.8,63.7,65.8,66.6,64.5,66.2,63.4,62.1,59.2,60.2,61.2,60.7,60.7,60.7
410,"KOR","South Korea",46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,47.6,35.8,41.1,43.8,34.8,32.6,41,45.3,41.9,31.9,35.6,31.6,35,17.1,21.6,18.6,21.6,23.1,22.3,22.3,22.3
728,"SSD","South Sudan",95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,92.8,88.9,93.2,85.1,86.9,87.4,92.7,87.9,88.6,94.1,94.8,91.5,86.1,91.1,87.9,94.3,89,86.6,89,89,89
724,"ESP","Spain",36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,43.9,32.7,34.9,39.5,37.7,33.1,32.3,37.7,36.1,29.8,36.4,38,36.6,29.9,28.2,23.5,32.1,33.1,33.9,33.9,33.9
144,"LKA","Sri Lanka",47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.3,44.9,49.4,49.8,48.6,47.9,45,45.3,42.6,42,50.5,54.1,43.7,45.4,42,42.4,37.7,42,36.2,36.2,36.2
275,"PSE","State of Palestine",29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,35.2,32.8,31.5,32.2,33.8,36.6,32.2,36.9,35.9,39.6,46.5,42.7,45.3,28.6,30.2,27,28.6,30,29,29,29
729,"SDN","Sudan",52.7,52.7,52.7,52.7,52.7,52.7,52.7,52.7,52.7,58.9,51.3,55,52.3,50.4,50.5,51.6,47.4,51.3,56.6,58.7,52.9,52.5,48.4,52.8,51.4,44.6,46.9,49.3,49.3,49.3
740,"SUR","Suriname",94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,95.5,100,97.2,96.1,95.6,92.8,100,99.1,100,97,94.3,93.2,100,100,89.8,92.3,97.9,100,100,100,100
752,"SWE","Sweden",55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,58.4,53.9,50.9,51.7,52,54.7,57.8,50.7,54.9,42.2,51.7,47.7,56.4,47.4,49.4,47.2,43.9,51.8,51.9,51.9,51.9
756,"CHE","Switzerland",56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,61.7,57.3,59.6,57.3,58.3,57.5,59.6,60,56.1,58.8,60.6,56.9,58.1,49.6,48,44.8,49,52.5,52.1,52.1,52.1
760,"SYR","Syria",20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,28,22.5,21.8,25.5,24.1,26.5,23.5,28.4,25.8,24.3,30.7,29.6,29.8,21.9,21.2,17.6,20,17.9,21,21,21
